	Kingdom	Phylum	Class	Order	Family	Genus	ASV
ASV229	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	ASV229
ASV230	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	ASV230
ASV231	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA	ASV231
ASV232	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	ASV232
ASV233	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	ASV233
ASV234	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_III	NA	NA	ASV234
ASV235	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	ASV235
ASV236	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	OM43_clade	ASV236
ASV237	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	Balneola	ASV237
ASV238	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	ASV238
ASV239	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Catenococcus	ASV239
ASV240	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	Balneola	ASV240
ASV241	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	NA	ASV241
ASV242	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	ASV242
ASV243	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_III	NA	ASV243
ASV244	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	ASV244
ASV245	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculaceae	NA	ASV245
ASV246	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita	ASV246
ASV247	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NA	ASV247
ASV248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassococcus	ASV248
ASV249	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04_marine_group	ASV249
ASV250	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	ASV250
